pricing_id,route_id,fuel_surcharge_usd,port_charge_usd,demand_factor,risk_surcharge_usd,target_margin_percent
P01973,R01973,90.0,55.0,1.1,85.0,14.0
P01974,R01974,110.0,120.0,1.1,50.0,15.0
P01975,R01975,105.0,105.0,1.05,65.0,16.0
P01976,R01976,120.0,85.0,1.05,70.0,18.0
P01977,R01977,140.0,100.0,0.9,75.0,16.0
P01978,R01978,120.0,70.0,1.0,35.0,15.0
P01979,R01979,165.0,90.0,1.05,45.0,18.0
P01980,R01980,155.0,55.0,1.05,55.0,18.0
P01981,R01981,120.0,50.0,0.95,55.0,12.0
P01982,R01982,140.0,135.0,1.05,95.0,16.0
P01983,R01983,125.0,70.0,1.15,50.0,16.0
P01984,R01984,155.0,85.0,0.95,70.0,18.0
P01985,R01985,125.0,120.0,0.9,60.0,13.0
P01986,R01986,140.0,95.0,1.0,60.0,14.0
P01987,R01987,125.0,100.0,1.05,65.0,16.0
P01988,R01988,135.0,95.0,1.0,85.0,19.0
P01989,R01989,185.0,65.0,1.15,85.0,20.0
P01990,R01990,160.0,120.0,1.0,50.0,13.0
P01991,R01991,130.0,95.0,1.1,75.0,16.0
P01992,R01992,125.0,60.0,1.05,45.0,16.0
P01993,R01993,135.0,115.0,1.05,45.0,19.0
P01994,R01994,115.0,85.0,1.05,50.0,12.0
P01995,R01995,135.0,130.0,1.05,100.0,17.0
P01996,R01996,130.0,100.0,1.05,55.0,17.0
P01997,R01997,130.0,60.0,1.05,65.0,18.0
P01998,R01998,130.0,120.0,1.0,50.0,19.0
P01999,R01999,110.0,70.0,0.9,45.0,12.0
P02000,R02000,115.0,75.0,0.9,70.0,15.0
P02001,R02001,150.0,95.0,1.1,65.0,19.0
P02002,R02002,125.0,65.0,1.0,25.0,12.0
P02003,R02003,140.0,100.0,1.0,85.0,16.0
P02004,R02004,115.0,55.0,1.05,35.0,15.0
P02005,R02005,120.0,70.0,0.95,55.0,17.0
P02006,R02006,160.0,145.0,0.9,45.0,19.0
P02007,R02007,140.0,100.0,1.05,55.0,14.0
P02008,R02008,120.0,85.0,1.05,50.0,15.0
P02009,R02009,120.0,105.0,1.05,45.0,13.0
P02010,R02010,100.0,80.0,1.0,40.0,14.0
P02011,R02011,115.0,125.0,1.0,90.0,17.0
P02012,R02012,115.0,70.0,1.0,30.0,17.0
P02013,R02013,125.0,55.0,0.95,65.0,19.0
P02014,R02014,130.0,145.0,1.05,75.0,13.0
P02015,R02015,120.0,105.0,1.0,55.0,16.0
P02016,R02016,100.0,70.0,1.05,50.0,15.0
P02017,R02017,115.0,75.0,1.0,70.0,19.0
P02018,R02018,85.0,50.0,1.05,95.0,15.0
P02019,R02019,100.0,75.0,1.1,55.0,19.0
P02020,R02020,130.0,80.0,1.1,55.0,14.0
P02021,R02021,130.0,55.0,1.0,65.0,13.0
P02022,R02022,90.0,100.0,1.0,85.0,20.0
P02023,R02023,95.0,45.0,1.0,35.0,15.0
P02024,R02024,110.0,55.0,0.95,25.0,14.0
P02025,R02025,100.0,65.0,1.05,90.0,19.0
P02026,R02026,85.0,95.0,1.0,65.0,15.0
P02027,R02027,85.0,100.0,0.95,35.0,18.0
P02028,R02028,120.0,65.0,1.1,65.0,19.0
P02029,R02029,85.0,50.0,1.0,95.0,17.0
P02030,R02030,95.0,80.0,1.05,75.0,14.0
P02031,R02031,85.0,50.0,1.0,35.0,12.0
P02032,R02032,120.0,75.0,1.0,45.0,15.0
P02033,R02033,105.0,85.0,0.9,35.0,19.0
P02034,R02034,85.0,80.0,1.05,50.0,15.0
P02035,R02035,140.0,45.0,1.0,40.0,18.0
P02036,R02036,125.0,115.0,1.05,70.0,18.0
P02037,R02037,80.0,100.0,0.9,45.0,18.0
P02038,R02038,140.0,55.0,1.0,85.0,16.0
P02039,R02039,120.0,85.0,1.05,65.0,19.0
P02040,R02040,90.0,60.0,1.05,45.0,19.0
P02041,R02041,95.0,105.0,1.0,75.0,15.0
P02042,R02042,140.0,105.0,1.1,65.0,18.0
P02043,R02043,130.0,100.0,0.95,60.0,15.0
P02044,R02044,100.0,105.0,1.1,75.0,14.0
P02045,R02045,90.0,80.0,0.9,65.0,15.0
P02046,R02046,100.0,75.0,1.05,85.0,20.0
P02047,R02047,100.0,110.0,1.05,95.0,17.0
P02048,R02048,130.0,60.0,0.95,45.0,18.0
P02049,R02049,120.0,90.0,1.0,55.0,14.0
P02050,R02050,145.0,60.0,1.05,75.0,20.0
P02051,R02051,130.0,85.0,1.1,55.0,17.0
P02052,R02052,115.0,75.0,1.05,35.0,15.0
P02053,R02053,115.0,100.0,1.05,55.0,14.0
P02054,R02054,100.0,55.0,1.0,55.0,13.0
P02055,R02055,115.0,60.0,0.95,35.0,12.0
P02056,R02056,110.0,115.0,0.9,50.0,14.0
P02057,R02057,85.0,85.0,1.0,60.0,15.0
P02058,R02058,110.0,85.0,1.0,40.0,12.0
P02059,R02059,75.0,55.0,1.0,40.0,12.0
P02060,R02060,75.0,110.0,0.9,25.0,15.0
P02061,R02061,120.0,45.0,0.95,70.0,19.0
P02062,R02062,145.0,55.0,0.95,50.0,18.0
P02063,R02063,90.0,95.0,1.1,50.0,18.0
P02064,R02064,95.0,105.0,1.1,75.0,17.0
P02065,R02065,90.0,45.0,0.95,85.0,20.0
P02066,R02066,130.0,80.0,0.95,40.0,17.0
P02067,R02067,150.0,95.0,1.0,45.0,19.0
P02068,R02068,120.0,115.0,1.0,50.0,15.0
P02069,R02069,105.0,50.0,1.0,70.0,19.0
P02070,R02070,105.0,90.0,1.05,75.0,14.0
P02071,R02071,110.0,80.0,1.0,60.0,18.0
P02072,R02072,150.0,110.0,1.05,65.0,15.0
P02073,R02073,135.0,55.0,1.1,55.0,16.0
P02074,R02074,105.0,110.0,1.05,90.0,14.0
P02075,R02075,140.0,85.0,1.0,75.0,14.0
P02076,R02076,160.0,95.0,1.0,45.0,19.0
P02077,R02077,140.0,100.0,0.9,75.0,20.0
P02078,R02078,115.0,110.0,1.0,40.0,12.0
P02079,R02079,100.0,95.0,1.1,40.0,17.0
P02080,R02080,115.0,100.0,0.95,45.0,18.0
P02081,R02081,105.0,60.0,0.95,25.0,15.0
P02082,R02082,155.0,95.0,0.95,60.0,18.0
P02083,R02083,110.0,55.0,0.95,40.0,17.0
P02084,R02084,110.0,90.0,0.95,65.0,15.0
P02085,R02085,105.0,95.0,1.05,70.0,18.0
P02086,R02086,115.0,95.0,1.05,65.0,13.0
P02087,R02087,90.0,90.0,0.9,30.0,14.0
P02088,R02088,115.0,75.0,1.1,70.0,18.0
P02089,R02089,90.0,50.0,0.95,50.0,17.0
P02090,R02090,160.0,115.0,1.0,35.0,18.0
P02091,R02091,130.0,55.0,1.0,80.0,13.0
P02092,R02092,155.0,80.0,1.1,95.0,20.0
P02093,R02093,115.0,80.0,0.95,65.0,19.0
P02094,R02094,85.0,110.0,1.0,70.0,15.0
P02095,R02095,100.0,55.0,1.0,40.0,18.0
P02096,R02096,85.0,45.0,0.95,55.0,15.0
P02097,R02097,90.0,60.0,1.05,65.0,19.0
P02098,R02098,80.0,55.0,1.0,85.0,16.0
P02099,R02099,90.0,70.0,1.05,55.0,12.0
P02100,R02100,145.0,100.0,0.95,65.0,18.0
P02101,R02101,85.0,105.0,1.0,45.0,14.0
P02102,R02102,120.0,90.0,1.05,70.0,19.0
P02103,R02103,110.0,60.0,1.0,30.0,17.0
P02104,R02104,145.0,85.0,1.0,75.0,18.0
P02105,R02105,135.0,110.0,1.1,70.0,15.0
P02106,R02106,90.0,115.0,1.1,65.0,18.0
P02107,R02107,160.0,55.0,1.0,40.0,17.0
P02108,R02108,100.0,105.0,1.05,85.0,19.0
P02109,R02109,120.0,115.0,1.05,75.0,15.0
P02110,R02110,80.0,105.0,1.05,55.0,15.0
P02111,R02111,145.0,110.0,0.95,30.0,17.0
P02112,R02112,95.0,95.0,1.05,60.0,18.0
P02113,R02113,85.0,85.0,1.1,65.0,16.0
P02114,R02114,115.0,55.0,1.1,90.0,20.0
P02115,R02115,110.0,100.0,0.95,30.0,14.0
P02116,R02116,130.0,110.0,1.0,55.0,16.0
P02117,R02117,110.0,80.0,1.0,70.0,13.0
P02118,R02118,110.0,105.0,1.0,75.0,16.0
P02119,R02119,145.0,95.0,0.95,25.0,18.0
P02120,R02120,130.0,70.0,1.0,65.0,15.0
P02121,R02121,100.0,90.0,1.05,65.0,19.0
P02122,R02122,90.0,60.0,1.0,80.0,13.0
P02123,R02123,145.0,105.0,0.95,85.0,17.0
P02124,R02124,80.0,80.0,1.0,35.0,14.0
P02125,R02125,65.0,65.0,1.05,55.0,14.0
P02126,R02126,130.0,95.0,1.05,60.0,14.0
P02127,R02127,100.0,70.0,1.1,50.0,16.0
P02128,R02128,145.0,100.0,0.95,35.0,15.0
P02129,R02129,110.0,55.0,1.0,40.0,17.0
P02130,R02130,130.0,100.0,1.05,45.0,16.0
P02131,R02131,90.0,90.0,1.0,70.0,13.0
P02132,R02132,135.0,60.0,1.05,95.0,20.0
P02133,R02133,90.0,100.0,0.9,25.0,18.0
P02134,R02134,120.0,85.0,0.95,75.0,14.0
P02135,R02135,140.0,100.0,1.05,75.0,15.0
P02136,R02136,110.0,55.0,0.95,35.0,19.0
P02137,R02137,115.0,90.0,0.95,45.0,18.0
P02138,R02138,115.0,70.0,1.0,65.0,13.0
P02139,R02139,80.0,45.0,0.9,45.0,14.0
P02140,R02140,155.0,90.0,1.1,50.0,18.0
P02141,R02141,120.0,55.0,1.0,45.0,16.0
P02142,R02142,105.0,65.0,1.0,55.0,12.0
P02143,R02143,105.0,100.0,0.95,80.0,13.0
P02144,R02144,100.0,65.0,0.9,30.0,17.0
P02145,R02145,90.0,55.0,1.0,55.0,14.0
P02146,R02146,95.0,65.0,1.15,70.0,16.0
P02147,R02147,100.0,55.0,1.05,65.0,15.0
P02148,R02148,150.0,90.0,0.95,75.0,17.0
P02149,R02149,155.0,45.0,1.0,45.0,14.0
P02150,R02150,130.0,70.0,0.95,30.0,18.0
P02151,R02151,155.0,55.0,1.05,65.0,18.0
P02152,R02152,105.0,75.0,0.9,65.0,16.0
P02153,R02153,135.0,110.0,1.05,50.0,18.0
P02154,R02154,110.0,55.0,1.0,65.0,18.0
P02155,R02155,85.0,85.0,1.05,85.0,19.0
P02156,R02156,125.0,75.0,0.95,55.0,18.0
P02157,R02157,120.0,100.0,1.15,85.0,20.0
P02158,R02158,75.0,50.0,0.95,65.0,13.0
P02159,R02159,170.0,85.0,1.0,85.0,20.0
P02160,R02160,120.0,50.0,1.05,35.0,15.0
P02161,R02161,115.0,95.0,1.1,65.0,13.0
P02162,R02162,115.0,95.0,1.1,70.0,18.0
P02163,R02163,140.0,75.0,1.05,55.0,15.0
P02164,R02164,115.0,100.0,0.95,75.0,17.0
P02165,R02165,115.0,90.0,1.05,40.0,17.0
P02166,R02166,160.0,60.0,1.0,30.0,15.0
P02167,R02167,75.0,110.0,1.05,55.0,16.0
P02168,R02168,110.0,110.0,1.05,90.0,14.0
P02169,R02169,165.0,90.0,1.05,95.0,20.0
P02170,R02170,70.0,95.0,1.05,85.0,17.0
P02171,R02171,140.0,95.0,1.0,80.0,15.0
P02172,R02172,115.0,75.0,1.05,55.0,17.0
P02173,R02173,100.0,50.0,0.95,50.0,12.0
P02174,R02174,95.0,75.0,1.0,55.0,12.0
P02175,R02175,95.0,80.0,1.0,45.0,18.0
P02176,R02176,120.0,60.0,1.05,45.0,18.0
P02177,R02177,80.0,100.0,1.1,95.0,15.0
P02178,R02178,95.0,105.0,1.05,90.0,14.0
P02179,R02179,120.0,85.0,1.1,90.0,16.0
P02180,R02180,110.0,105.0,0.95,40.0,14.0
P02181,R02181,100.0,55.0,1.05,35.0,12.0
P02182,R02182,110.0,105.0,1.0,65.0,18.0
P02183,R02183,100.0,75.0,1.0,45.0,17.0
P02184,R02184,165.0,95.0,0.95,30.0,18.0
P02185,R02185,175.0,70.0,0.95,35.0,19.0
P02186,R02186,75.0,75.0,1.0,75.0,18.0
P02187,R02187,115.0,75.0,1.0,75.0,16.0
P02188,R02188,145.0,95.0,1.05,45.0,16.0
P02189,R02189,100.0,80.0,1.05,70.0,15.0
P02190,R02190,110.0,115.0,0.95,25.0,14.0
P02191,R02191,115.0,105.0,1.0,85.0,16.0
P02192,R02192,115.0,75.0,1.0,65.0,15.0
P02193,R02193,105.0,55.0,0.9,45.0,15.0
P02194,R02194,65.0,85.0,1.1,85.0,14.0
P02195,R02195,120.0,90.0,0.9,45.0,14.0
P02196,R02196,120.0,110.0,1.0,50.0,14.0
P02197,R02197,140.0,75.0,1.0,55.0,19.0
P02198,R02198,110.0,85.0,1.0,75.0,17.0
P02199,R02199,120.0,100.0,1.0,80.0,15.0
P02200,R02200,95.0,80.0,1.0,45.0,18.0
P02201,R02201,90.0,90.0,1.1,50.0,15.0
P02202,R02202,100.0,95.0,1.1,55.0,19.0
P02203,R02203,90.0,115.0,1.0,85.0,14.0
P02204,R02204,115.0,75.0,1.0,65.0,15.0
P02205,R02205,100.0,70.0,1.05,95.0,20.0
P02206,R02206,90.0,60.0,0.95,55.0,14.0
P02207,R02207,115.0,55.0,1.0,70.0,13.0
P02208,R02208,135.0,50.0,1.0,65.0,19.0
P02209,R02209,135.0,50.0,1.0,70.0,19.0
P02210,R02210,110.0,105.0,1.15,70.0,19.0
P02211,R02211,100.0,95.0,1.0,55.0,12.0
P02212,R02212,120.0,60.0,0.9,75.0,20.0
P02213,R02213,165.0,65.0,1.1,65.0,16.0
P02214,R02214,160.0,60.0,1.0,35.0,18.0
P02215,R02215,105.0,110.0,1.0,55.0,16.0
P02216,R02216,100.0,105.0,0.95,45.0,15.0
P02217,R02217,145.0,115.0,0.95,85.0,17.0
P02218,R02218,135.0,60.0,1.05,60.0,17.0
P02219,R02219,110.0,100.0,0.9,65.0,19.0
P02220,R02220,115.0,95.0,0.9,70.0,16.0
P02221,R02221,115.0,50.0,0.95,65.0,18.0
P02222,R02222,75.0,45.0,1.05,85.0,14.0
P02223,R02223,80.0,75.0,1.0,80.0,16.0
P02224,R02224,105.0,95.0,1.05,70.0,13.0
P02225,R02225,110.0,70.0,1.1,85.0,14.0
P02226,R02226,150.0,105.0,1.15,90.0,20.0
P02227,R02227,125.0,65.0,0.95,45.0,18.0
P02228,R02228,115.0,60.0,1.0,75.0,14.0
P02229,R02229,110.0,60.0,1.1,45.0,18.0
P02230,R02230,115.0,110.0,0.95,35.0,18.0
P02231,R02231,120.0,95.0,0.95,40.0,18.0
P02232,R02232,135.0,100.0,0.95,35.0,12.0
P02233,R02233,90.0,85.0,0.95,60.0,17.0
P02234,R02234,135.0,95.0,1.05,65.0,19.0
P02235,R02235,105.0,55.0,1.0,65.0,15.0
P02236,R02236,130.0,75.0,1.0,65.0,18.0
P02237,R02237,100.0,80.0,1.1,35.0,17.0
P02238,R02238,180.0,90.0,0.9,70.0,19.0
P02239,R02239,135.0,105.0,1.0,25.0,17.0
P02240,R02240,90.0,50.0,0.95,85.0,19.0
P02241,R02241,90.0,65.0,1.05,25.0,12.0
P02242,R02242,100.0,70.0,0.95,85.0,16.0
P02243,R02243,95.0,50.0,1.0,55.0,17.0
P02244,R02244,135.0,85.0,0.95,75.0,14.0
P02245,R02245,90.0,80.0,1.05,45.0,13.0
P02246,R02246,145.0,70.0,1.0,70.0,18.0
P02247,R02247,95.0,75.0,1.0,30.0,17.0
P02248,R02248,145.0,65.0,1.0,70.0,16.0
P02249,R02249,135.0,70.0,0.95,75.0,20.0
P02250,R02250,95.0,60.0,1.05,45.0,18.0
P02251,R02251,115.0,65.0,0.95,35.0,16.0
P02252,R02252,195.0,70.0,1.0,80.0,18.0
P02253,R02253,130.0,105.0,1.05,45.0,19.0
P02254,R02254,75.0,75.0,1.05,85.0,14.0
P02255,R02255,125.0,85.0,1.0,35.0,17.0
P02256,R02256,90.0,80.0,1.1,55.0,17.0
P02257,R02257,100.0,65.0,0.95,50.0,17.0
P02258,R02258,115.0,65.0,1.05,75.0,18.0
P02259,R02259,130.0,80.0,1.0,60.0,18.0
P02260,R02260,130.0,45.0,1.0,65.0,16.0
P02261,R02261,135.0,90.0,1.05,45.0,16.0
P02262,R02262,110.0,115.0,1.1,70.0,18.0
P02263,R02263,170.0,75.0,1.1,75.0,20.0
P02264,R02264,135.0,50.0,1.0,35.0,18.0
P02265,R02265,85.0,65.0,1.0,70.0,13.0
P02266,R02266,95.0,95.0,1.1,85.0,19.0
P02267,R02267,130.0,80.0,1.15,40.0,12.0
P02268,R02268,140.0,70.0,0.9,25.0,14.0
P02269,R02269,115.0,105.0,0.9,25.0,17.0
P02270,R02270,110.0,45.0,0.95,30.0,15.0
P02271,R02271,105.0,110.0,1.0,55.0,15.0
P02272,R02272,155.0,105.0,1.1,45.0,15.0
P02273,R02273,115.0,80.0,1.0,45.0,18.0
P02274,R02274,155.0,55.0,0.95,50.0,18.0
P02275,R02275,100.0,60.0,1.05,90.0,19.0
P02276,R02276,85.0,105.0,0.9,70.0,18.0
P02277,R02277,130.0,105.0,1.05,45.0,16.0
P02278,R02278,160.0,110.0,0.95,75.0,17.0
P02279,R02279,95.0,100.0,1.1,55.0,16.0
P02280,R02280,165.0,70.0,1.0,90.0,19.0
P02281,R02281,120.0,90.0,0.95,75.0,16.0
P02282,R02282,85.0,105.0,1.15,90.0,17.0
P02283,R02283,115.0,100.0,1.15,75.0,13.0
P02284,R02284,120.0,55.0,1.1,85.0,16.0
P02285,R02285,100.0,75.0,1.0,60.0,18.0
P02286,R02286,185.0,70.0,0.95,45.0,18.0
P02287,R02287,85.0,55.0,1.05,35.0,14.0
P02288,R02288,85.0,85.0,1.05,75.0,16.0
P02289,R02289,85.0,55.0,0.95,30.0,17.0
P02290,R02290,115.0,65.0,1.15,75.0,20.0
P02291,R02291,120.0,90.0,1.0,45.0,15.0
P02292,R02292,145.0,75.0,1.0,80.0,16.0
P02293,R02293,145.0,60.0,0.95,55.0,15.0
P02294,R02294,150.0,45.0,1.1,85.0,20.0
P02295,R02295,115.0,80.0,1.0,65.0,16.0
P02296,R02296,140.0,110.0,1.05,50.0,19.0
P02297,R02297,105.0,75.0,0.95,65.0,19.0
P02298,R02298,125.0,75.0,1.0,25.0,12.0
P02299,R02299,85.0,105.0,0.95,60.0,17.0
P02300,R02300,80.0,100.0,0.95,75.0,14.0
P02301,R02301,90.0,65.0,0.9,25.0,12.0
P02302,R02302,150.0,70.0,1.0,55.0,20.0
P02303,R02303,130.0,65.0,1.0,85.0,19.0
P02304,R02304,205.0,60.0,0.9,55.0,18.0
P02305,R02305,95.0,45.0,1.15,45.0,13.0
P02306,R02306,95.0,105.0,1.05,90.0,17.0
P02307,R02307,155.0,80.0,1.0,70.0,19.0
P02308,R02308,130.0,100.0,1.05,60.0,14.0
P02309,R02309,125.0,95.0,1.1,95.0,15.0
P02310,R02310,110.0,100.0,1.1,90.0,17.0
P02311,R02311,130.0,95.0,0.9,75.0,16.0
P02312,R02312,105.0,75.0,1.0,70.0,13.0
P02313,R02313,125.0,110.0,0.95,70.0,18.0
P02314,R02314,90.0,70.0,1.05,45.0,19.0
P02315,R02315,105.0,80.0,0.95,25.0,18.0
P02316,R02316,115.0,95.0,1.05,75.0,14.0
P02317,R02317,150.0,110.0,1.1,70.0,16.0
P02318,R02318,115.0,85.0,1.0,55.0,16.0
P02319,R02319,125.0,80.0,0.9,35.0,19.0
P02320,R02320,130.0,70.0,0.95,50.0,17.0
P02321,R02321,120.0,65.0,1.0,75.0,15.0
P02322,R02322,95.0,90.0,1.05,25.0,18.0
P02323,R02323,115.0,80.0,1.05,85.0,17.0
P02324,R02324,105.0,55.0,1.15,85.0,14.0
P02325,R02325,120.0,90.0,0.95,75.0,19.0
P02326,R02326,135.0,70.0,1.0,55.0,19.0
P02327,R02327,105.0,95.0,1.1,90.0,17.0
P02328,R02328,145.0,55.0,0.9,25.0,15.0
P02329,R02329,100.0,95.0,1.0,55.0,18.0
P02330,R02330,145.0,50.0,1.1,40.0,17.0
P02331,R02331,80.0,75.0,1.0,45.0,18.0
P02332,R02332,105.0,105.0,0.95,35.0,13.0
P02333,R02333,115.0,50.0,1.0,45.0,15.0
P02334,R02334,155.0,80.0,1.0,75.0,20.0
P02335,R02335,80.0,45.0,1.0,25.0,17.0
P02336,R02336,115.0,100.0,1.05,50.0,16.0
P02337,R02337,130.0,85.0,1.0,70.0,13.0
P02338,R02338,130.0,45.0,0.95,70.0,15.0
P02339,R02339,150.0,100.0,1.0,45.0,15.0
P02340,R02340,105.0,90.0,1.0,90.0,20.0
P02341,R02341,115.0,80.0,1.05,45.0,13.0
P02342,R02342,90.0,75.0,0.95,50.0,17.0
P02343,R02343,140.0,95.0,1.05,75.0,19.0
P02344,R02344,175.0,70.0,1.05,40.0,18.0
P02345,R02345,130.0,60.0,0.95,70.0,19.0
P02346,R02346,110.0,115.0,0.9,30.0,18.0
P02347,R02347,85.0,90.0,1.05,65.0,16.0
P02348,R02348,105.0,80.0,1.05,45.0,13.0
P02349,R02349,90.0,90.0,1.05,60.0,18.0
P02350,R02350,135.0,45.0,1.05,35.0,18.0
P02351,R02351,130.0,55.0,1.0,55.0,19.0
P02352,R02352,90.0,90.0,0.95,35.0,15.0
P02353,R02353,125.0,70.0,1.05,95.0,15.0
P02354,R02354,100.0,65.0,1.0,65.0,13.0
P02355,R02355,110.0,50.0,1.1,85.0,19.0
P02356,R02356,90.0,50.0,1.0,60.0,15.0
P02357,R02357,100.0,100.0,1.0,95.0,15.0
P02358,R02358,105.0,115.0,1.05,90.0,14.0
P02359,R02359,85.0,105.0,1.15,65.0,16.0
P02360,R02360,125.0,105.0,1.1,55.0,19.0
P02361,R02361,140.0,50.0,0.95,75.0,18.0
P02362,R02362,80.0,85.0,0.95,30.0,15.0
P02363,R02363,120.0,90.0,1.1,45.0,15.0
P02364,R02364,90.0,65.0,1.0,50.0,14.0
P02365,R02365,150.0,110.0,1.1,65.0,19.0
P02366,R02366,85.0,60.0,1.1,90.0,14.0
P02367,R02367,125.0,105.0,0.95,25.0,15.0
P02368,R02368,115.0,80.0,1.1,75.0,19.0
P02369,R02369,100.0,80.0,1.0,60.0,14.0
P02370,R02370,115.0,75.0,1.1,95.0,18.0
P02371,R02371,80.0,45.0,1.0,65.0,13.0
P02372,R02372,110.0,90.0,1.05,50.0,15.0
P02373,R02373,80.0,70.0,1.0,45.0,14.0
P02374,R02374,90.0,85.0,0.95,70.0,15.0
P02375,R02375,85.0,105.0,1.05,40.0,18.0
P02376,R02376,170.0,75.0,1.1,95.0,17.0
P02377,R02377,110.0,100.0,1.1,50.0,18.0
P02378,R02378,100.0,110.0,0.95,55.0,15.0
P02379,R02379,145.0,90.0,0.9,45.0,18.0
P02380,R02380,130.0,90.0,1.0,75.0,15.0
P02381,R02381,145.0,60.0,0.95,30.0,14.0
P02382,R02382,155.0,65.0,1.0,65.0,19.0
P02383,R02383,85.0,80.0,1.1,45.0,18.0
P02384,R02384,155.0,70.0,0.95,45.0,15.0
P02385,R02385,135.0,60.0,0.9,70.0,13.0
P02386,R02386,120.0,50.0,1.1,90.0,17.0
P02387,R02387,100.0,75.0,1.0,70.0,15.0
P02388,R02388,100.0,85.0,0.95,30.0,15.0
P02389,R02389,100.0,55.0,1.0,55.0,15.0
P02390,R02390,125.0,100.0,1.1,55.0,18.0
P02391,R02391,160.0,105.0,1.1,70.0,18.0
P02392,R02392,145.0,70.0,0.95,35.0,15.0
P02393,R02393,125.0,80.0,1.0,35.0,18.0
P02394,R02394,95.0,90.0,0.95,30.0,12.0
P02395,R02395,110.0,95.0,0.95,75.0,13.0
P02396,R02396,95.0,75.0,1.0,50.0,13.0
P02397,R02397,125.0,60.0,0.95,55.0,13.0
P02398,R02398,145.0,65.0,0.95,55.0,13.0
P02399,R02399,120.0,75.0,1.05,50.0,14.0
P02400,R02400,115.0,95.0,1.0,90.0,19.0
P02401,R02401,100.0,105.0,1.0,45.0,12.0
P02402,R02402,110.0,50.0,0.95,35.0,16.0
P02403,R02403,90.0,60.0,1.0,95.0,18.0
P02404,R02404,85.0,70.0,1.0,85.0,16.0
P02405,R02405,135.0,90.0,1.0,40.0,17.0
P02406,R02406,100.0,90.0,1.0,75.0,16.0
P02407,R02407,115.0,55.0,0.95,85.0,14.0
P02408,R02408,90.0,75.0,1.05,30.0,15.0
P02409,R02409,100.0,60.0,1.1,70.0,13.0
P02410,R02410,115.0,70.0,1.0,60.0,14.0
P02411,R02411,120.0,100.0,1.0,70.0,13.0
P02412,R02412,155.0,65.0,0.95,25.0,14.0
P02413,R02413,90.0,85.0,0.9,25.0,15.0
P02414,R02414,140.0,70.0,1.0,55.0,19.0
P02415,R02415,130.0,95.0,1.0,60.0,14.0
P02416,R02416,110.0,100.0,1.0,35.0,18.0
P02417,R02417,150.0,60.0,1.0,35.0,16.0
P02418,R02418,110.0,80.0,1.05,75.0,17.0
P02419,R02419,95.0,100.0,1.05,55.0,16.0
P02420,R02420,105.0,80.0,1.1,35.0,17.0
P02421,R02421,135.0,55.0,1.0,75.0,16.0
P02422,R02422,120.0,80.0,1.0,55.0,19.0
P02423,R02423,105.0,70.0,1.0,50.0,14.0
P02424,R02424,125.0,90.0,0.95,45.0,14.0
P02425,R02425,140.0,105.0,1.05,75.0,19.0
P02426,R02426,105.0,105.0,1.05,65.0,19.0
P02427,R02427,115.0,100.0,1.05,85.0,17.0
P02428,R02428,80.0,55.0,1.05,35.0,12.0
P02429,R02429,95.0,75.0,1.05,85.0,16.0
P02430,R02430,160.0,65.0,1.1,65.0,16.0
P02431,R02431,110.0,65.0,1.0,45.0,12.0
P02432,R02432,175.0,70.0,1.05,70.0,19.0
P02433,R02433,110.0,90.0,1.0,30.0,12.0
P02434,R02434,120.0,60.0,0.95,85.0,19.0
P02435,R02435,165.0,115.0,1.0,45.0,19.0
P02436,R02436,95.0,110.0,0.95,50.0,17.0
P02437,R02437,130.0,110.0,1.1,95.0,20.0
P02438,R02438,110.0,105.0,1.15,65.0,18.0
P02439,R02439,115.0,105.0,0.95,85.0,14.0
P02440,R02440,105.0,75.0,1.1,45.0,15.0
P02441,R02441,130.0,55.0,0.95,45.0,18.0
P02442,R02442,115.0,60.0,0.95,45.0,15.0
P02443,R02443,135.0,65.0,1.1,45.0,15.0
P02444,R02444,90.0,90.0,1.1,65.0,16.0
P02445,R02445,115.0,80.0,1.05,70.0,18.0
P02446,R02446,90.0,95.0,1.0,55.0,15.0
P02447,R02447,85.0,75.0,0.9,50.0,14.0
P02448,R02448,155.0,110.0,0.95,75.0,18.0
P02449,R02449,130.0,80.0,0.95,65.0,18.0
P02450,R02450,150.0,90.0,1.1,50.0,17.0
P02451,R02451,135.0,100.0,1.1,90.0,16.0
P02452,R02452,130.0,100.0,1.15,45.0,18.0
P02453,R02453,120.0,105.0,0.95,80.0,15.0
P02454,R02454,110.0,70.0,0.95,35.0,13.0
P02455,R02455,180.0,75.0,1.05,75.0,20.0
P02456,R02456,160.0,100.0,0.95,35.0,19.0
P02457,R02457,150.0,75.0,1.1,65.0,19.0
P02458,R02458,120.0,80.0,1.0,45.0,13.0
P02459,R02459,115.0,75.0,0.9,65.0,19.0
P02460,R02460,100.0,95.0,0.95,25.0,14.0
P02461,R02461,95.0,100.0,0.95,75.0,20.0
P02462,R02462,135.0,80.0,1.0,55.0,18.0
P02463,R02463,110.0,110.0,1.1,45.0,16.0
P02464,R02464,85.0,45.0,1.1,85.0,16.0
P02465,R02465,85.0,45.0,0.9,25.0,14.0
P02466,R02466,105.0,55.0,1.05,45.0,15.0
P02467,R02467,115.0,95.0,1.05,85.0,16.0
P02468,R02468,115.0,55.0,1.0,75.0,14.0
P02469,R02469,130.0,105.0,0.95,25.0,18.0
P02470,R02470,110.0,80.0,1.0,55.0,12.0
